mineid,minename,date,time,narrative,stateabb,company_name
4201944,COTTONWOOD,6/18/1992,2035,AT 8:35 PM 18 JUNE 1992 AT THE TAILGATE ENTRY OF THE 4TH WEST LONGWALL PANEL WE EXPEREINCED A BUMP OR CAVE WHICH CLOSED THE TAILGATE FOR MORE THAN 30 MINUTES AND ALSO DAMAGED 7 LONGWALL SHIELD S.,UT,ENERGY WEST MINING COMPANY
4200093,SUNNYSIDE MINE NO. 1,8/5/1992,1330,55061S PULLING SHIELD ON TAILGATE HE LEANED AGAINST THE CHANNEL A BOUNCED OCCURED AND PUSHED THE CHANNEL AGAINST HIS THIGH.,UT,SUNNYSIDE COAL COMPANY
4200093,SUNNYSIDE MINE NO. 1,9/8/1992,1730,A SLIGHT EARTHQUAKE OCCURRED AND TRIGGERED A BOUNCE ON TAILGATE OF LONGWALL 22ND LEFT WHICH BLOCKED THE TAILGATE OF THE LONGWALL.,UT,SUNNYSIDE COAL COMPANY
4404517,VIRGINIA POCAHONTAS NO 6,10/28/1992,140,A 1.40 AM ON 10-28-92 A COAL OUTBURST OCCURED N EAST 3 DEV A LONGSIDE THE STAGE LOADER. THE PRESSURE CAUSED A RIB TO ROLL OFF APPROX 3' DEEP FOR 50' ON BOTH SIDES ON THE COAL BLOCK JUST INBY SURVEY STATION #8155.,VA,GARDEN CREEK POCAHONTAS COMPAN
4200077,SOLDIER CANYON,1/21/1993,210,A LARGE PILLAR BOUNCE OCCURRED IN THE FIFTH NORTH PILLAR SECTION. BOUNCING CONTINUED FOR SEVERAL DAYS IMMOBILIZING THE SECTION AND SECTION EQUIPMENT. THE EQUIPMENT WILL BE REMOVED AND THE SEC TION WILL BE SEALED.,UT,SOLDIER CREEK COAL COMPANY
4200121,DEER CREEK MINE,1/21/1993,145,IT WAS REPORTED THAT A PILLAR AT OR BETWEEN 13 AND 14 X CUT IN 3RD NORTH B HAD BURST DUE TO A BOUNCED IT DAMAGED AN OVER CAST AND IMPEDED ESCAPE WAY TRAVEL FOR MORE THAN ONE HOUR.,UT,ENERGY WEST MINING COMPANY
4201944,COTTONWOOD MINE,1/27/1993,150,"MINER WAS HELPING MOVE POWER, HE WAS IN THE PROCESS OF MOVING ACABLE OUT OF THE ROADWAY AND A RIB BOUNCED STRIKING WORKER ON THE SHOUDLER AND FACE.",UT,ENERGY WEST MINING COMPANY
1510818,#3,3/26/1993,930,"R.B. OPER INSTALLING BOLT NEXT TO RIB IN 2L BRK. PIECE OF MIDDLE MAN BURST OUT CRUSHING EMPL AGAINST ROOF BOLTER. PIECE OF MIDDLEMAN THAT CAUSED FATAL ACCIDENT MEASURED 7' X 30"" X 10"".",KY,HARLAN KYVA COAL INC.
4201750,APEX,5/7/1993,2010,EMPLOYEE WAS OBSERVING PILLAR EXTRACTION NEAR A BREAKER ROW IN MAIN'S PILLAR SECTION OF THE APEX MINE. THE PILLAR BOUNCED AND A PIECE OF COAL STRUCK THE EMPLOYEE IN THE FOREHEAD.,UT,"ANDALEX RESOURCES, INC."
4603374,MAPLE MEADOW MINE,10/28/1993,1400,"A MOUNTAIN BUMP OCCURRED ON THE 2167 SECTION WHILE A PILLAR SPLIT WAS BEING MINED. THERE WERE NO INJURIES REPORTED, ALTHOUGH THE CONTINUOUS MINER (REMOTE) WAS SLIGHTLY JARRED & REPOSITIONED BY THE CONCUSSION.",WV,MAPLE MEADOW MINING COMPANY
4603374,MAPLE MEADOW MINE,10/29/1993,1407,"A MOUNTAIN BUMP OCCURRED ON THE 2167 SECTION. ONE EMPLOYEE WAS INJURED WHILE ROOF BOLTING, WHEN HE WAS STRUCK BY SOME COAL AND A DISLODGED TIMBER. INJURE REPORT SENT PRIOR TO THIS REPORT, DATE D 11-2-93. 2=THE EMPLOYEE WAS INSTALLING ROOF BOLTS WHEN A BUMP OCCURRED AND COAL WHICH SHOT OFF THE RIB KNOCKED A POST THAT STRUCK THE EMPLOYEE ON THE LOWER LEFT LEG AND HIS MIDDLE LOCK AREA.",WV,MAPLE MEADOW MINING COMPANY
4200089,SUFCO,11/3/1993,1730,RIB BURST CAUSING COMPRESSION FRACTURES TO THORASIC VERTEBRAES.,UT,SOUTHERN UTAH FUEL COMPANY
4201715,CRANDALL CANYON MINE,12/16/1993,1130,"WHILE WALKING BACK TOWARDS CONTINUOUS MINER FROM LUNC. A PILLAR BOUNCED AND BLEW OUT SOME COAL. A CHUNK OF COAL HIT EMPLOYEE IN SIDE OF HEAD CAUSING 1/2"" CUT TO SIDE OF HEAD. THE PILLAR WAS A PILLAR ALONG THE PILLAR LINE. THE #1 PILLAR BETWEEN ENTRY#1 AND #2. MINING WAS BEING INDUCTED IN THE LEFT BARRIER OF #1 ENTRY.",UT,GENWAL COAL COMPANY
4601437,MCELROY MINE,2/14/1994,435,LEFT 4 SO LONGWALL FACE MAN WAS AT RECOVERY FACE DURING LONGWALL MOVE HE WAS BEGINNING TO MOVE A HOOK THAT WAS HOLDING THE EMULSION (PRESSURE & RETURN) TRUNK LINE TO MOVE IT OUTBY WHEN THE RIB (FACE) SUDDENLY BURST & SOME COAL & ROCK FLEW &HIT MANS LEFT LEG,WV,MCELROY COAL COMPANY
4201944,COTTONWOOD MINE,5/16/1994,1235,A PILLAR HAD AN OUTBURST OF COAL DUE TO PRESSUREFROM ABOVE MINING ACTIVITIES. NO BOLTS FAIL OR TOP WAS DAMAGED IN OUTBURST AREA. AREA BEING DISTRESSED AT TIME OF OCCURRENCE.,UT,ENERGY WEST MINING COMPANY
504184,CYPRUS ORCHARD VALLEY MINE,8/25/1994,450,"HE AND OTHERS WERE STANDING NEAR THE CONTINUOUS MINER WHEN A BUMP OCCURRED WHICH DISLODGED TOP COAL FROM THE ROOF. THE COAL STRUCK HIM ON THE HEAD KNOCKING HIM TO THE GROUND AND FORCING HIS HA RD HAD DOWN ONTO HIS NOSE. HIS NOSE WAS BROKEN AND CUT. THE CUT REQUIRED STITCHES.   2=HE AND OTHERS WERE STANDING NEAR THE CONTINUOUS MINER WHEN A BUMP OCCURRED WHICH DISLODGED TOP COAL FROM THE ROOF. THE COAL STRUCK HIM ON THE LEFT HAND, BREAKING HIS LEFT INDEX FINGER.",CO,CYPRUS ORCHARD VALLEY COAL COR
4201566,SKYLINE MINE NO. 3,10/17/1994,1150,"BOUNCE IN FAULT AREA, 4 RIGHT BELT LINE, CAUSED EAST RIB TO PUSH OUT. RIB MESH, RIB BOLT AND TIMBERS WERE DESTROYED. FALSE ROOF IN AREA WAS DAMAGED AND ROOF CAME IN, IN A SMALL PORTION OF AREA OUTBY FAULT. DAMAGE EXTENDS APPROX. 200 FEET.",UT,UTAH FUEL COMPANY
4201944,COTTONWOOD MINE,11/9/1994,2240,A COAL OUTBURST OCCURRED ON THE 4' LEFT LONGWALL FACE PRESSURES FROM A PILLAR IN THE WORKING BOVE THE LONGWALL FACE CAUSED THE FACE TO BLOW OUT.,UT,ENERGY WEST MINING COMPANY
4200171,STAR POINT #2,11/29/1994,1300,EE STATES THE FACE BOUNCED AND A CHUNK OF COAL STRUCK HIM IN THE LEFT GROIN AREA. BRUISE AND CONTUSION DEVELOPED.,UT,CYPRUS PLATEAU MINING CORPORAT
4200089,SUFCO,12/7/1994,1830,EMPLOYEE WAS STRUCK BY A RIB BURST SLAB STRUCK HIM ON THE LEFT LEG CAUSING HIM TO TWIST HIS ANKLE,UT,SOUTHERN UTAH FUEL COMPANY
1504670,NO 37 MINE,12/23/1994,2150,A POSSIBLE COAL BUMP OCCURRED IN THE #2 ENTRY OF THE L-7 GOB AREA ABUTMENT PILLAR. RESULTING IN A SHOCK IN THE ACTIVE L-8 )004-0) TAILGATE AND FACE AREA BETWEEN 102-124 SHIELD. MSHA WAS NOTIFI ED AND INVESTIGATION CONDUCTED. #37 MANAGER SHUT FACE DOWN TO INVESTIGATE.,KY,ARCH OF KENTUCKY
4605978,BIG BRANCH MINE,1/1/1995,2100,BUMP/BURST CAUSING EXCESSIVE PRESSURE ON COAL PILLARS FROM INBY SPAD #9003 EXTENDING APPROX. 160' INBY IN ALL ENTRIES AND ADJACENT CROSSCUTS CAUSING RIBS TO SLOUGH OFF AND MINE FLOOR TO HEAVE. REDUCTION IN MINING HEIGHT IS FROM 7 TO 4 FEET.,WV,EASTERN MINGO COAL COMPANY
504452,SANBORN CREEK MINE,1/17/1995,1610,THE 4TH WEST MINING SECITON IN THE #4 ENTRY BETWEEN X/C #6 & #7 HAD A OUTBURST AND A HEAVE WHICH INJURED THE SECTION FOREMAN BROKE HIS RIGHT ANKLE AND A SMALL FRACTURE TO HIS UPPER BACK.,CO,PACIFIC BASIN RESOURCES
1504670,NO 37 MINE,1/19/1995,1027,A COAL OUTBURST OCCURRED IN THE #2 ENTRY OF THE L-7 GOB AREA. ABUTMENT PILLAR BLOCK AT APPROX. 19 XCUT WHICH CAUSED A SHOCK TO OCCUR IN THE ACTIVE L-8 LONGWALL 004-0 UNTIL TAILGATE AND LONGWAL L FACE INBY #109 SHIELD--124 SHIELD.,KY,ARCH OF KENTUCKY
1514492,BAKER MINE,1/21/1995,2110,A COAL OUT BURST OCCURRED ON THE #3 UNIT MMU 050 IN THE #2 ENTRY ABOUT 17 FOOT OUTBY THE FACE IT RESULTED IN A CRACK IN THE RIB MEASURING 4 INCHES WIDE 4FT DEEP & THE HEIGHT OF THE COAL SEAM I T SHOT COAL FROM THE RIB ACCROSS THE MINER,KY,COSTAIN COAL INC.
504452,SANBORN CREEK MINE,3/14/1995,1530,THE 5TH WEST SECTION HAD A BOUNCE THAT STOPPED PRODUCTION BECAUSE 8 STOPPINGS WERE LEAKING AFTER THE BOUNCE AROUND.,CO,PACIFIC BASIN RESOURCES
4607857,MINE NO. 14,3/27/1995,2100,THE EE WAS LAYING ON THE BOTTOM WATCHING POST BEING SET DURING PILLAR OPERATIONS WHEN THE BOTTOM BUMPED PITCHING HIM FORWARD.,WV,LONG BRANCH ENERGY
503836,FOIDEL CREEK MINE,6/19/1995,1845,INJURED WAS BUILDING A STOPPING HE HAD HIS LEFT HAND ON TOP OF A BLOCK WHEN A CHUNK OF COAL BURST FROM THE RIB/ROOF AREA & STSRUCK THE TOP OF HIS HAND EMPLOYEE IS RELEASED FOR RESTRICTED DUTY ON JUNE 23 1995 SCHEDULED VACATION FOR EMPLOYEE & HIS CREW BEGINS 06-23-95 NEXT SCHEDULED WORK DAY IS JULY 7 1995,CO,TWENTYMILE COAL COMPANY
504452,SANBORN CREEK MINE,7/25/1995,832,A COAL BOUNCE OCCURRED IN THE 6TH WEST PILLAR SECTION MM4-001-0 THAT INTERRUPTED SECTION VENTILATION. THE BOUNCED CAUSED FLOOR HEAVE IN VARIOUS LOCATIONS IN THE SECTION.,CO,PACIFIC BASIN RESOURCES
1504670,NO 37 MINE,8/7/1995,1122,A COAL BUMP OCCURRED ON THE 004-0 LONGWALL. BETWEEN #113-125 SHIELD. NO INJURY OCCURRED. THE SHEAR OIL HOUSING SUSTAINED DAMAGE.,KY,ARCH OF KENTUCKY
1504670,NO 37 MINE,8/9/1995,2057,A COAL BUMP OCCURRED ON THE L-9 004-0 LONGWALL BETWEEN #113-125 SHIELD. NO INJURY OCCURRED THE H/G-T/G CUTTER SHAFTS WERE BROKEN.,KY,ARCH OF KENTUCKY
1504670,NO 37 MINE,8/10/1995,227,"A COAL BUMP OCCURRED ON THE L-9 0040 LONGWALL, NEAR TAIL GATE. NO INJURIES OCCURRED. THE SHEAR OIL HOUSING SUSTAINED DAMAGED. MSHA NOTIFIED AND INVESTIGATION CONDUCTED.",KY,ARCH OF KENTUCKY
504452,SANBORN CREEK MINE,8/22/1995,935,A COAL BOUNCED OCCURED IN THE 6TH WEST PILLAR SECITON (MMU001-0) THA INTERRUPTED SECTION VENTAILATION. THE BOUNCE CAUSED FLOOR HEAVE IN VARIOUS LOCATIONS IN THE #4 ENTRY OUTBY THE FACE AREAS.,CO,PACIFIC BASIN RESOURCES
504184,BOWIE MINE #1,8/29/1995,2215,"EE STATES THAT A BOUNCE OCCURRED. AS HE WAS RUNNING FROM FALLING COAL, SOME OF THE COAL HIT HIM ON HIS LEG. THE LEFT LEG FROM THE KNEE TO THE ANKLE WAS BRUISED.",CO,BOWIE RESOURCES LIMITED
503836,FOIDEL CREEK MINE,9/1/1995,140,"EE WAS STRUCK ON THE LEFT ARM AND RT THIGH BY COAL/ROCK THAT BURST FROM THE RIB. TREATMENT WAS NOT REQUESTED UNTIL 9-13-95, AND HE WAS PLACED ON RESTRICTED DUTY EFFECTIVE 9-14-95.",CO,TWENTYMILE COAL COMPANY
504452,SANBORN CREEK MINE,9/11/1995,130,A COAL BOUNCE OCCURRED IN THE 6TH WEST PILLAR SECTION MM4-001-0 THAT INTERUPTED OBECTION VENTILATION. THIS CONDITION FOACED ALL MINING ACTIVITIES TO CEASE FOR THE SECTION TO BE MOVED TO ANOTHE R PANEL.,CO,PACIFIC BASIN RESOURCES
1504670,NO 37 MINE,10/25/1995,2030,A COAL OUTBURST OCCURRED IN THE #1 ENTRY OF THE L-9 GOB AREA. ABATEMENT PILLAR AT APPROXIMATELY 21 + C. MSHA NOTIFIED AND INVESTIGATION CONDUCTED.,KY,ARCH OF KENTUCKY
1504670,NO 37 MINE,10/26/1995,1030,A COAL OUTBURST OCCURRED IN THE #1 ENTRY OF THE L-9 GOB AREA. ABUTEMENT PILLAR AT APPROX. 21 +C.MSHA NOTIFIED AND INVESTIGATION CONDUCTED.,KY,ARCH OF KENTUCKY
504452,SANBORN CREEK MINE,1/22/1996,2100,A BUMP/BOUNCE OCCURRED IN THE NORTH MAIN SECTIONMM4002-0 OF THE SANBORN CREEK MINE. THE BUMP/BOUNCE CAUSED MINING ACTIVITIES TO CEASE AND CAUSEDFLOOR HEAVING & RIB & ROOF DETERIORATION IN AFFE CTED AREA. NO INJURIES OR EQUIPMENT DAMAGE.,CO,"OXBOW CARBON & MINERALS, INC."
1504670,NO 37 MINE,4/19/1996,452,A COAL BUMP OCCURRED IN THE #32 ENTRY OF L-10 GOB AREA ABUTEMENT PILLAR APPROXIMATELY 15 X-CUT. A SHOCK WAS FELT ON FACE. REPAIRS WERE MADE TO SHIELDS IN TG AREA. MSHA WAS NOTIFIED AND INVESTI GATION CONDUCTED.,KY,ARCH OF KENTUCKY
504184,Bowie Mine #1,5/10/1996,541,"An extensive bounce (pressure bump) occurred on the 2 Right panel, trapping six miners for three hours. The miners were producing coal on the retreat pillar mining section could not see through the dust to escape and roof, rib, and floor failed at numerous locations.",CO,Bowie Resources Ltd.
4201566,SKYLINE MINE NO. 3,7/16/1996,630,THE LONGWALL SECTION EXPERIENCED A SEVERE BOUNCEAT APPROX 6:30AM. THE SHOCK WAVE BROKE SOME BOLTS AND ROCK FELL ON THE STAGELOADER. THE SECTION WAS SHUT DOWN AND REHABILITATION WORK STARTED.,UT,"CANYON FUEL COMPANY, LLC"
504184,BOWIE MINE #1,10/24/1996,1330,EE STATES THAT THE MINER WAS BEING MOVED BACK OUT OF A FENDER TO HAVE A WATER SPRAY HOSE REPAIRED AND HE WAS PUTTING A LOOP OF CABLE ON THE MINER WHEN A SMALL BUMP DISLODGED A LOOSE RIB AND PI NNED HIM UP AGAINST THE MINER.,CO,BOWIE RESOURCES LIMITED
4200089,SUFCO,11/4/1996,120,"EE HAD JUST FINISHED CHECKING THE WATER PRESSURE ON THE MINER AND WAS WALKING BACKWHEN RIB BURST CAUSING A 20"" WIDE X 3 1/2"" THICK PIECE OT HIT HIS LEFT FOOT AND ANKLE. THIS RESULTED IN A BRUI SE TO HIS FOOT.",UT,"CANYON FUEL COMPANY, LLC"
4202028,ABERDEEN,11/14/1996,1845,"THE VICTIM WAS STANDING AT SHIELD #124 WITH HIS BACK TO THE COAL FACE WHEN A COAL OUTBURST OCCURRED. COAL LUMPS STRUCK THE VICTIM AND PUSHED HIM INTO THE SHIELDS, CAUSING FATAL INJURIES. THE S HEARER WAS CUTTING COAL AT THE TIME AND THE TAILGATE-SIDE CUTTER DRUM WAS LOCATED AT SHIELD #121. THERE WERE NO WITNESSES. ACTIVITY UNKNOWN AT TIME OF ACCIDENT.",UT,"ANDALEX RESOURCES, INC."
1507201,C-2 MINE,11/20/1996,1415,"A COAL OUTBURST OCCURRED ON THE 005 MECHANIZED UNIT WHILE MINING COAL IN 2ND LEFT OFF OF 9 RT ROOMS. 2=THE EMPLOYEE WAS OBSERVING THE CONTINUOUS MIENR AS IT WAS CUTTING COAL WHEN A COAL OUTBURST OCCURRED, STRIKING THE EMPLOYEE. 3=WHILE IN THE PROCESS OF HANGING A CURTAIN, A COAL OUTBURST OCCURRED, FATALLY STRIKING THE EE. 4=EE WAS RIDING IN A SCOOP BUCKET WHEN A COAL OUTBURST OCCURRED, STRIKING HIM. 5= EE WAS STANDING BESIDE THE CONTINOUS MINER, AS IT WAS CUTTING COAL, WHEN A COAL OUTBURST OCCURED, STRIKING THE EE.",KY,HARLAN CUMBERLAND COAL COMPANY
4202028,ABERDEEN,12/11/1996,1945,A COAL OUTBURST OCCURRED ON THE 3RD WEST LONGWALL FACE WHILE THE SHEARER WAS CUTTING AT THE TAILGATE. THE FORCE OF THE BOUNCE BROKE MOUNTING BOLTS ON THE SHEARER AND THE HEADGATE-SIDE CUTTERHE AD AND ASSOCIATED COMPONENTS SEPARATED FROM THE MAIN SHEARER BODY. ONLY PERSONS PRESENT WERE SHEARER OPERATORS. NO REPORTABLE INJURIES FROM THIS ACCIDENT.,UT,"ANDALEX RESOURCES, INC."
4200089,SUFCO,1/30/1997,850,EMPLOYEE WAS ATTEMPTING TO ADVANCE TWO SHIELDS THAT WERE BURIED IN MUD. THE SHIELDS HAD BEEN TAKEN OUT OF AUTO MODE SO THEY WOULD NOT DIG DEEPER INTO THE MUD WHEN ADVANCED. HE MOVED ONTO #37 SHIELD TO ACHIEVE IT WHEN THE FACE BURST HITTING HIM IN THE BACK. HE MOVED BACK TO #38 SHIELD TO GET OUT OF THE WAY WHEN A SECOND BURST HIT EE IN THE BACK. HE FELT A SHARP PAIN IN HIS BACK,UT,"CANYON FUEL COMPANY, LLC"
4200171,STAR POINT NO.2,2/12/1997,1700,"EMPLOYEE HAD JUST STARTED TO TRAM THE BOLTER WHEN THE BOUNCE HIT THE AREA WITH NO WARNING. EMPLOYEE WAS 3-4 FEET FROM THE RIB, STANDING BETWEEN THE BOLTER AND THE RIB WHEN THE BOUNCE HIT AND P IECES OF COAL FROM THE RIB COVERED HIM, PUSHING HIM INTOTHE BOLTER. EMPLOYEE WAS PUSHED INTO THE TRAM VALVE BANK AND SIDE OF THE BOLTER. EMPLOYEE WAS ABLE TO FREE HIMSELF.",UT,CYPRUS PLATEAU MINING CORPORAT
1102752,GALATIA MINE,3/23/1997,912,"THE EMPLOYEE WAS LOCATED AT THE STAGELOADER MASTER CONTROLLER WHEN WITHOUT WARNING, RIB COAL AND ROCK BURST FROM THE PILLAR OUTBY THE LONGWALL FACE, STRIKING HER AND CAUSING FATAL CRUSHING INJ URIES.",IL,THE AMERICAN COAL COMPANY
4201280,WHITE OAK MINE #2,4/30/1997,1330,"RIB BOUNCED OFF KNOCKING PANIC SWITCH ON OPERATOR SIDE OF MINER IN. WHEN ROOF STARTED TO FALL MINER WAS UNABLE TO TRAM AND ROCK FELL ON MINER. FALL WAS APPROX 6-8'H, 20'L, 18'W.",UT,WHITE OAK MINING & CONSTRUCTIO
4200089,SUFCO,7/9/1997,2210,"EE WAS HANDDUSTING IN THE FACE AREA. HE WAS WAITING FOR THE SHUTTLE CAR TO COMPLETE LOADING BEFORE MOVING OUT OF THE FACE AREA. JUST AS THE SHUTTLE CAR STARTED TO PULL OUT A RIB THAT EE WAS ST ANDING NEAR BURST OFF STRIKING HIM IN THE BACK. THE SLABOF COAL WAS 5'5""TALL X 4'5"" WIDE X 1""-9"" THICK. EE FELT PAIN IN HIS LOWER BACK AND WAS TRANSPORTED TO THE HOSPITAL BY SUFCO EMT'S.",UT,"CANYON FUEL COMPANY, LLC"
4608436,UPPER BIG BRANCH MINE-SOUTH,8/7/1997,1315,EMPLOYEE HAD JUST INSTALLED THE 3RD ROW-LEFT OUTSIDE ROOF BOLT WHEN THE ARE BUMPED AND A RIB ROLLED OUT STRIKING HIS RIGHT SHOUDLER. THE SECTION (HEADGATE NO.4) WAS BEING REHABILITATED DUE TO HOOVED BOTTOM ETC.. EMPLOYEE WAS TREATED AND RELEASED AT CAMC GENERAL DIVISION HOSPITAL. A FOLLOW UP VISIT WITH A SPECIALIST 8-12-97 REVELED A FRACTURE. EMPLYOEE BEGAN MISSING WORK 8-13-97.,WV,PERFORMANCE COAL COMPANY
4608427,NO. 1,9/12/1997,2030,"EE WAS HELPING SET TIMBERS ON PILLAR LINE AND WENT BACK IN BREAK OVER FROM MINER, TOP BUMPED, ROLLING A COAL RIB ON HIS LOWER BACK.",WV,STONECOAL BRANCH MINING INC.
4201715,CRANDALL CANYON MINE,9/18/1997,1215,"WHILE WALKING ALONG THE STAGE LOADER TOWARDS THE SHEILDS, SOME COAL BURST FROM THE RIB KNOCKING INDIVDUAL AGAINST THE HEAD GATE MOTOR GEAR BOX. THIS CAUSED A LACERATION TO THE INSIDE OF HIS LO WER LIP, REQUIRING 5 STITCHES TO CLOSE.",UT,"GENWAL RESOURCES, INC."
4202095,BEAR CANYON NO. 2,1/24/1998,500,EE WAS MINING & IT BOUNCED HARD. A RIB FELL & HIT HIM & KNOCKED HIM INTO THE MINER. HE HIT HIS HEAD ON THE MINER. HE HAS A CONCUSSION & GASHES IN HIS HEAD WHICH REQUIRED STITCHES.,UT,C.W. MINING COMPANY (CO-OP MIN
4202113,WILLOW CREEK MINE,1/25/1998,2045,"ROOF FALL, ROOF COAL FELL AN AREA OF 9'W, 24'L, 3'H IN THE #2 ENTRY OUTBY 28 X-CUT FOLLOWING A MINOR BOUNCE CAUSING RIB SLOUGHAGE. FALL DID NOT OCCUR ABOVE THE ANCHORAGE POINT OF THE ROOF BOLT S.",UT,PLATEAU MINING CORP.
4202113,WILLOW CREEK MINE,2/4/1998,2220,"WHEN THE BOUNCE OCCURRED, HE WAS KNOCKED DOWN FROM THE FORCE AND IN THE PROCESS OF GOING DOWN, GRABBED THE SHUTTLE CAR WITH HIS LEFT HAND CAUSING PAIN IN SHOULDER AND NECK. 2=INCIDENT, BOUNCE OCCURRED AT 2220 AND ANOTHER OCCURRED AT 2308 AT WHICH TIME THE RIB SLUFFED FOR A DISTANCE OF APPROX. 44'L X 6' D LOCATED AT THE 28-29 XCUT. Y",UT,PLATEAU MINING CORP.
4200121,DEER CREEK MINE,3/29/1998,1642,EMPLOYEE WAS WALKING DOWN LONGWALL FACE WHEN A BOUNCE OCCURRED AND A PIECE OF COAL STRUCK THE EMPLOYEE IN THE LOWER BACK.,UT,ENERGY WEST MINING COMPANY
504452,SANBORN CREEK MINE,6/1/1998,1720,"A COAL OUTRBURST OCCURRED IN 19N, MMU 001-0, DURING MINING OPERATIONS XCUT WAS BEING DRIVEN BETWEEN THE #2 ENTRY TO #3 ENTRY, THE ENTRY WAS IN 18' FROM THE LAS ROW OF BOLTS. THIS OCCURRED AT T HE #35 XCUTRT'S ROLLS XCUT, NO FLOOR HEAVE. THE SECTION MECHANIC WAS STANDING IN THER LAST OPEN XCUT.",CO,"OXBOW MINING, INC."
4202113,WILLOW CREEK MINE,8/6/1998,1430,"RESTRICTED DUTY, EE WAS WALKING TOWARDS TAILGATE TO PULL PROPS WHEN BOUNCE OCCURRED. LEFT FOOT WAS STRUCK BY A ROCK THAT CAME OUT OF FACE.",UT,PLATEAU MINING CORP.
503672,WEST ELK MINE,8/14/1998,1922,"EMPLOYEE STATES HE BENT OVER TO PICK UP A RIB MAT TO INSTALL WHEN THE RIB BOUNCED, STRIKING HIM RESULTING IN CONTUSIONS TO HEAD AND NECK. NO REPORTABLE TREATMENT WAS RENDERED UNTIL 3-10-99.",CO,MOUNTAIN COAL CO.
503672,WEST ELK MINE,12/7/1998,430,EE STATES HE WAS STANDING BY THE EDGE OF THE RIB SCREEN WHEN THE RIB BOUNCED. HE WAS STRUCK BY THE RIB CAUSING A LACERATED FOREHEAD THAT REQUIRED SUTURES.,CO,MOUNTAIN COAL CO.
4202113,WILLOW CREEK MINE,6/17/1999,630,BOUNCE OCCURRED IN THE D-2 SECT #2 ENTRY BETWEEN#54 & #55 XCUT. APPROX 40' OF RIB LINE BOUNCED OUT INTO THE ENTRY. THE DISTANCE FROM THE BOLT TO RIB WAS FROM 6'TO 8' NO INJURIES REPORTED,UT,PLATEAU MINING CORP.
4201211,TRAIL MOUNTAIN MINE,8/10/1999,1540,"AT 3:40PM, A BOUNCE OCCURRED ON THE 5TH. RT. L/WBETWEEN SHIELD 100 AND 110. THE MAJORITY OF THE DEBRIS FROM THE BOUNCE STAYED ON THE FACE SIDE WITH A SMALL AMOUNT BEING THROWN INTO THE SHIELDS WALKWAY. THIS SECTION DIDN'T RUN FOR A COUPLE OFSHIFTS, BUT THIS WAS BECAUSE THE SHEARER BEING INOPERATIVE AND NOT FROM DEBRIS PRODUCED BY THE BOUNCE.",UT,ENERGY WEST MINING COMPANY
4201211,TRAIL MOUNTAIN MINE,8/16/1999,935,"AT ABOUT 9:35 AM ON 8-16-99 A BOUNCED OCCURED ON THE TAILGATE OF 5TH RIGHT LONGWALL BETWEEN SHIELDS DOWN FOR ABOUT 8 HOURS BECAUSE OF MACHINE FAILURE, NOT DEBRIS FROM THE BOUNCE. WE HAD BEEN E XPERIENCING MECHANICAL PROBLEMS WITH THE SHEAR WHICH WASTHE ADDED DELAY TIME PRIOR TO RESUMING MINING ACTIVITY.",UT,ENERGY WEST MINING COMPANY
4201211,TRAIL MOUNTAIN MINE,8/17/1999,1355,"AT ABOUT 1:55 P.M. A BOUNCE OCCURRED ON THE 5# RIGHT LONGWALL BETWEEN SHIELDS 101 AND 111. THIS BOUNCED OCCURED BECAUSE OF GEOLOGICAL CONDITIONS. THE MAJORITY OF THE DEBRIS WAS ON THE FACE SID E OF THE SHEARER WITH VERY LITTLE BEING THROW INTHE WALKWAY OF THE SHIELDS. THE SECTION DID NOT RUN FOR A COUPLE OF SHIFTS DUE TO THE SHEARER BEING BROKE DOWN, NOT FROM DEBRIS PRODUCED BY THE",UT,ENERGY WEST MINING COMPANY
4608003,NO.36 MINE,9/21/1999,1135,WHILE MINING THE 1ST LIFT OFF OF #6 PILLAR BLOCK WITH WAS AFTER MINING THE 1ST LIFT OFF THE #5 PILLAR BLOCK. THE RAINER WAS BACKING OUT THE ROOF BUMPED AND CAUGHT THE BUGRE WITH TRAPED THE MIN ER. MACH.,WV,ALBATROSS MINING CORP.
4201566,SKYLINE MINE NO. 3,10/19/1999,1900,A ROOF FALL WAS DISCOVERED AT CROSS-CUT 26 IN 14LTG. THE FALL WAS IN #2 ENTRY. THE AREA HAD BEENBOLTED WITH 6'RESIN BOLTS. THIS WAS SUPPLEMENTEDBY WIRE MESH MATS AND 10' CABLE BOLTS. THIS AREA HAS BEEN EXPERIENCING BOUNCES CAUSED BY OLD WORKS IN MINE #1 ABOVE THE AREA.,UT,"CANYON FUEL COMPANY, LLC"
4201211,TRAIL MOUNTAIN MINE,11/30/1999,1550,EE WAS PULLING SHIELDS AS THE SHEARER CUT THROUGH THE TAILGATE. A BOUNCE OCCURRED BLOWING COAL OUT OF THE FACE. A PIECE OF COAL HIT HIM ON THE HEAD/NECK.,UT,ENERGY WEST MINING COMPANY
504452,SANBORN CREEK MINE,1/16/2000,1300,"WHILE SETTING 2ND ROW OF TIMBER THE MINE BOUNCEDCAUSING THE RIBS TO BLOW OUT AND SCALE OFF THE ROOF STRIKING HIM IN THE FACE, KNOCKING HIM DOWN CUTTING HIS FACE.",CO,"OXBOW MINING, INC."
